x_val,y_val
1.73,-0.279
3.234,-0.294
4.653,-0.302
6.072,-0.314
7.495,-0.331
8.908,-0.354
10.346,-0.369
11.763,-0.377
13.181,-0.389
14.506,-0.396
15.808,-0.409
17.1,-0.426
18.388,-0.439
19.716,-0.448
21.013,-0.471
22.291,-0.483
23.505,-0.511
24.701,-0.518
25.885,-0.524
27.076,-0.535
28.277,-0.541
29.477,-0.552
30.676,-0.558
31.895,-0.563
33.122,-0.564
34.349,-0.565
35.576,-0.576
36.844,-0.582
38.106,-0.598
39.419,-0.611
40.777,-0.637
42.142,-0.653
43.465,-0.671
44.741,-0.677
46.041,-0.681
47.308,-0.689
48.595,-0.703
49.853,-0.713
51.115,-0.72
52.364,-0.724
53.624,-0.721
54.922,-0.725
56.204,-0.733
57.472,-0.742
58.775,-0.743
60.121,-0.754
61.553,-0.773
62.967,-0.785
64.305,-0.793
65.605,-0.791
66.938,-0.794
68.225,-0.795
69.501,-0.803
70.791,-0.809
72.11,-0.818
73.413,-0.816
74.677,-0.822
75.964,-0.829
77.272,-0.842
78.59,-0.85
79.871,-0.857
81.261,-0.871
82.711,-0.887
84.124,-0.907
85.448,-0.924
86.756,-0.924
88.085,-0.935
89.421,-0.94
90.73,-0.952
92.049,-0.955
93.362,-0.948
94.66,-0.96
95.93,-0.964
97.2,-0.968
98.492,-0.975
99.781,-0.987
101.051,-0.999
102.412,-1.014
103.817,-1.025
105.184,-1.034
106.46,-1.026
107.749,-1.014
109.035,-1.019
110.369,-1.014
111.686,-1.015
113.057,-1.015
114.436,-1.012
115.829,-1.004
117.163,-0.998
118.477,-0.996
119.786,-0.989
121.12,-0.985
122.423,-0.983
123.818,-0.983
125.239,-0.987
126.592,-0.981
127.869,-0.977
129.151,-0.957
130.422,-0.952
131.701,-0.941
133.019,-0.94
134.348,-0.935
135.649,-0.928
136.938,-0.919
138.225,-0.916
139.495,-0.919
140.764,-0.923
142.048,-0.921
143.397,-0.919
144.771,-0.929
146.215,-0.932
147.619,-0.938
148.953,-0.936
150.279,-0.918
151.608,-0.919
152.914,-0.927
154.201,-0.929
155.46,-0.937
156.743,-0.937
158.015,-0.944
159.307,-0.941
160.611,-0.939
161.954,-0.94
163.288,-0.945
164.65,-0.95
166.056,-0.959
167.533,-0.969
168.98,-0.974
170.371,-0.978
171.731,-0.966
173.141,-0.959
174.551,-0.966
175.947,-0.97
177.315,-0.972
178.69,-0.968
180.099,-0.966
181.51,-0.962
182.885,-0.966
184.253,-0.972
185.641,-0.982
187.082,-0.998
188.594,-1.01
190.09,-1.027
191.527,-1.035
192.928,-1.023
194.322,-1.016
195.765,-1.022
197.212,-1.025
198.628,-1.03
200.096,-1.027
201.535,-1.024
203.001,-1.018
204.452,-1.018
205.906,-1.028
207.37,-1.037
208.849,-1.046
210.451,-1.07
212.075,-1.092
213.642,-1.107
215.097,-1.106
216.573,-1.106
218.062,-1.117
219.496,-1.125
220.936,-1.123
222.374,-1.128
223.843,-1.119
225.279,-1.118
226.725,-1.111
228.164,-1.116
229.642,-1.119
231.127,-1.116
232.699,-1.131
234.295,-1.144
235.807,-1.147
237.259,-1.136
238.729,-1.122
240.222,-1.125
241.65,-1.132
243.07,-1.136
244.52,-1.136
246.017,-1.132
247.524,-1.133
249.039,-1.13
250.55,-1.138
252.022,-1.143
253.494,-1.145
255.046,-1.16
256.651,-1.164
258.163,-1.175
259.644,-1.162
261.148,-1.147
262.675,-1.146
264.216,-1.139
265.778,-1.134
267.406,-1.136
268.991,-1.134
270.602,-1.131
272.216,-1.134
273.779,-1.135
275.373,-1.133
277.064,-1.142
278.842,-1.151
280.531,-1.16
282.136,-1.157
283.755,-1.146
285.364,-1.148
286.938,-1.152
288.508,-1.157
290.095,-1.164
291.67,-1.168
293.291,-1.177
294.895,-1.187
296.481,-1.203
298.087,-1.217
299.773,-1.232
301.534,-1.257
303.26,-1.279
304.92,-1.284
306.593,-1.276
308.229,-1.275
309.873,-1.276
311.52,-1.27
313.166,-1.274
314.822,-1.272
316.487,-1.272
318.111,-1.272
319.748,-1.279
321.439,-1.286
323.188,-1.29
325.038,-1.317
326.879,-1.338
328.621,-1.337
330.324,-1.323
332.094,-1.317
333.81,-1.314
335.515,-1.308
337.262,-1.303
338.993,-1.296
340.687,-1.295
342.415,-1.295
344.11,-1.293
345.789,-1.284
347.58,-1.296
349.405,-1.299
351.12,-1.303
352.807,-1.282
354.535,-1.27
356.247,-1.26
357.953,-1.245
359.703,-1.235
361.414,-1.224
363.104,-1.213
364.814,-1.208
366.485,-1.198
368.16,-1.182
369.903,-1.182
371.744,-1.197
373.515,-1.201
375.227,-1.202
376.958,-1.185
378.652,-1.182
380.352,-1.17
382.053,-1.174
383.679,-1.166
385.312,-1.163
386.94,-1.165
388.568,-1.16
390.205,-1.158
391.818,-1.155
393.433,-1.148
395.173,-1.152
396.908,-1.161
398.543,-1.17
400.125,-1.153
401.674,-1.132
403.244,-1.125
404.775,-1.109
406.287,-1.109
407.83,-1.1
409.372,-1.098
410.89,-1.091
412.422,-1.09
413.89,-1.093
415.383,-1.089
416.85,-1.093
418.426,-1.105
420.052,-1.119
421.607,-1.139
423.062,-1.138
424.604,-1.125
426.139,-1.117
427.617,-1.115
429.117,-1.109
430.628,-1.114
432.101,-1.109
433.584,-1.12
435.094,-1.119
436.589,-1.12
438.091,-1.127
439.585,-1.131
441.091,-1.129
442.686,-1.142
444.345,-1.158
445.965,-1.172
447.554,-1.17
449.115,-1.16
450.703,-1.154
452.287,-1.161
453.868,-1.16
455.472,-1.169
457.13,-1.167
458.72,-1.175
460.313,-1.178
461.893,-1.181
463.493,-1.193
465.071,-1.195
466.669,-1.206
468.379,-1.225
470.089,-1.248
471.749,-1.263
473.358,-1.258
474.946,-1.251
476.524,-1.259
478.134,-1.262
479.704,-1.266
481.263,-1.27
482.832,-1.277
484.432,-1.28
486.022,-1.28
487.633,-1.282
489.222,-1.287
490.834,-1.292
492.514,-1.298
494.26,-1.322
495.968,-1.335
497.583,-1.335
499.262,-1.309
500.906,-1.297
502.547,-1.29
504.188,-1.287
505.88,-1.284
507.578,-1.269
509.261,-1.272
510.936,-1.27
512.598,-1.273
514.259,-1.271
515.955,-1.266
517.759,-1.269
519.565,-1.288
521.343,-1.298
523.082,-1.286
524.768,-1.272
526.469,-1.26
528.155,-1.254
529.8,-1.243
531.463,-1.243
533.12,-1.239
534.802,-1.238
536.47,-1.231
538.181,-1.225
539.88,-1.221
541.572,-1.22
543.419,-1.23
545.297,-1.245
547.064,-1.252
548.79,-1.239
550.489,-1.215
552.251,-1.21
554.045,-1.198
555.794,-1.188
557.49,-1.179
559.205,-1.167
560.973,-1.162
562.701,-1.16
564.472,-1.152
566.218,-1.152
567.97,-1.159
569.753,-1.172
571.538,-1.188
573.226,-1.19
574.92,-1.187
576.655,-1.185
578.342,-1.182
580.038,-1.186
581.777,-1.187
583.489,-1.189
585.165,-1.195
586.887,-1.194
588.646,-1.202
590.407,-1.202
592.167,-1.203
594.006,-1.213
595.871,-1.235
597.721,-1.262
599.475,-1.257
601.184,-1.24
602.96,-1.24
604.743,-1.228
606.491,-1.222
608.272,-1.225
610.042,-1.214
611.769,-1.214
613.517,-1.208
615.3,-1.209
617.053,-1.21
618.81,-1.218
620.649,-1.225
622.512,-1.244
624.315,-1.264
626.043,-1.257
627.758,-1.233
629.487,-1.24
631.25,-1.232
632.975,-1.231
634.71,-1.229
636.467,-1.228
638.174,-1.224
639.881,-1.217
641.634,-1.221
643.402,-1.218
645.191,-1.22
647.104,-1.226
649.007,-1.24
650.799,-1.255
652.548,-1.247
654.262,-1.226
656.011,-1.223
657.825,-1.214
659.625,-1.21
661.456,-1.206
663.293,-1.21
665.111,-1.21
666.92,-1.21
668.732,-1.207
670.574,-1.195
672.496,-1.194
674.495,-1.206
676.357,-1.222
678.125,-1.209
679.878,-1.189
681.585,-1.167
683.297,-1.16
684.994,-1.148
686.717,-1.141
688.45,-1.133
690.141,-1.12
691.816,-1.112
693.493,-1.104
695.198,-1.108
696.912,-1.102
698.706,-1.096
700.595,-1.104
702.508,-1.126
704.278,-1.144
705.973,-1.124
707.625,-1.135
709.295,-1.114
711.041,-1.129
712.814,-1.128
714.586,-1.132
716.417,-1.136
718.23,-1.137
719.976,-1.144
721.673,-1.145
723.434,-1.15
725.081,-1.15
726.769,-1.16
728.584,-1.187
730.342,-1.203
732.072,-1.217
733.842,-1.199
735.513,-1.184
737.207,-1.179
738.927,-1.177
740.67,-1.168
742.438,-1.168
744.246,-1.168
746.046,-1.153
747.854,-1.148
749.687,-1.144
751.491,-1.146
753.349,-1.151
755.294,-1.173
757.233,-1.195
759.102,-1.218
760.976,-1.197
762.784,-1.17
764.59,-1.171
766.423,-1.17
768.232,-1.164
770.084,-1.167
771.94,-1.166
773.783,-1.161
775.645,-1.179
777.582,-1.169
779.441,-1.167
781.409,-1.188
783.456,-1.21
785.451,-1.221
787.368,-1.226
789.266,-1.209
791.184,-1.177
793.073,-1.177
794.969,-1.177
796.89,-1.167
798.837,-1.162
800.751,-1.157
802.64,-1.155
804.566,-1.144
806.44,-1.143
808.297,-1.134
810.269,-1.138
812.273,-1.15
814.269,-1.156
816.222,-1.147
818.132,-1.13
820.071,-1.108
822.025,-1.113
823.962,-1.104
825.873,-1.104
827.751,-1.1
829.651,-1.096
831.566,-1.098
833.388,-1.093
835.186,-1.092
837.008,-1.107
838.855,-1.12
840.676,-1.134
842.503,-1.132
844.239,-1.125
846.025,-1.116
847.773,-1.106
849.546,-1.113
851.371,-1.122
853.19,-1.119
855.012,-1.124
856.812,-1.132
858.653,-1.136
860.45,-1.149
862.255,-1.155
864.121,-1.16
866.057,-1.186
868.016,-1.206
869.937,-1.233
871.766,-1.239
873.64,-1.225
875.463,-1.235
877.249,-1.246
879.121,-1.261
881.007,-1.269
882.842,-1.28
884.734,-1.289
886.564,-1.306
888.397,-1.315
890.209,-1.319
892.078,-1.323
894.008,-1.337
896,-1.36
897.91,-1.383
899.819,-1.391
901.679,-1.371
903.521,-1.369
905.376,-1.372
907.18,-1.371
909.021,-1.382
910.867,-1.376
912.698,-1.376
914.503,-1.382
916.309,-1.374
918.148,-1.366
919.971,-1.371
921.826,-1.371
923.772,-1.381
925.721,-1.403
927.61,-1.429
929.446,-1.406
931.288,-1.386
933.145,-1.383
934.996,-1.371
936.837,-1.378
938.715,-1.38
940.603,-1.383
942.451,-1.393
944.329,-1.394
946.197,-1.402
948.099,-1.4
950.029,-1.405
952.139,-1.413
954.398,-1.446
956.604,-1.467
958.705,-1.451
960.845,-1.432
963.01,-1.431
965.152,-1.427
967.335,-1.421
969.505,-1.417
971.702,-1.418
973.868,-1.416
976.051,-1.406
978.273,-1.406
980.47,-1.405
982.753,-1.426
985.05,-1.445
987.186,-1.444
989.273,-1.42
991.409,-1.396
993.531,-1.382
995.622,-1.378
997.732,-1.366
999.885,-1.366
1001.951,-1.348
1004.02,-1.344
1006.133,-1.341
1008.146,-1.334
1010.207,-1.337
1012.312,-1.352
1014.385,-1.374
1016.412,-1.37
1018.396,-1.347
1020.435,-1.329
1022.424,-1.319
1024.398,-1.309
1026.42,-1.306
1028.388,-1.298
1030.346,-1.307
1032.279,-1.305
1034.175,-1.31
1036.159,-1.316
1038.173,-1.311
1040.222,-1.322
1042.356,-1.347
1044.465,-1.377
1046.449,-1.365
1048.486,-1.344
1050.462,-1.323
1052.426,-1.32
1054.441,-1.31
1056.436,-1.296
1058.464,-1.281
1060.465,-1.285
1062.432,-1.274
1064.437,-1.27
1066.431,-1.26
1068.413,-1.254
1070.495,-1.256
1072.636,-1.271
1074.693,-1.284
1076.674,-1.265
1078.629,-1.248
1080.616,-1.228
1082.59,-1.201
1084.505,-1.205
1086.478,-1.203
1088.476,-1.18
1090.433,-1.183
1092.42,-1.185
1094.35,-1.186
1096.337,-1.186
1098.289,-1.179
1100.343,-1.191
1102.546,-1.21
1104.623,-1.238
1106.656,-1.235
1108.678,-1.212
1110.657,-1.201
1112.609,-1.204
1114.551,-1.2
1116.477,-1.197
1118.405,-1.199
1120.278,-1.203
1122.219,-1.2
1124.155,-1.209
1126.111,-1.215
1128.066,-1.217
1130.106,-1.221
1132.198,-1.234
1134.292,-1.251
1136.29,-1.264
1138.223,-1.244
1140.208,-1.225
1142.142,-1.214
1144.061,-1.192
1145.994,-1.197
1147.918,-1.189
1149.877,-1.177
1151.816,-1.176
1153.751,-1.171
1155.663,-1.183
1157.59,-1.183
1159.504,-1.167
1161.491,-1.189
1163.534,-1.199
1165.576,-1.218
1167.524,-1.22
1169.485,-1.204
1171.45,-1.187
1173.399,-1.177
1175.375,-1.167
1177.308,-1.164
1179.339,-1.159
1181.323,-1.159
1183.308,-1.153
1185.252,-1.147
1187.237,-1.141
1189.219,-1.137
1191.226,-1.126
1193.334,-1.146
1195.445,-1.159
1197.502,-1.16
1199.539,-1.149
1201.534,-1.121
1203.507,-1.125
1205.487,-1.115
1207.504,-1.096
1209.551,-1.104
1211.625,-1.104
1213.664,-1.092
1215.702,-1.095
1217.733,-1.075
1219.744,-1.102
1221.8,-1.1
1223.878,-1.112
1225.993,-1.134
1228.075,-1.14
1230.085,-1.144
1232.133,-1.121
1234.093,-1.128
1236.086,-1.119
1238.105,-1.122
1240.066,-1.131
1242.045,-1.127
1244.05,-1.125
1246.068,-1.131
1248.077,-1.133
1250.082,-1.137
1252.145,-1.132
1254.244,-1.153
1256.404,-1.162
1258.595,-1.197
1260.714,-1.207
1262.78,-1.193
1264.828,-1.179
1266.879,-1.179
1268.897,-1.189
1270.912,-1.191
1272.883,-1.196
1274.96,-1.2
1276.976,-1.22
1278.981,-1.214
1281.021,-1.226
1283.071,-1.235
1285.121,-1.251
1287.281,-1.253
1289.484,-1.291
1291.581,-1.324
1293.644,-1.303
1295.687,-1.29
1297.783,-1.288
1299.806,-1.288
1301.842,-1.267
1303.949,-1.258
1305.98,-1.249
1308.034,-1.244
1310.071,-1.234
1312.142,-1.227
1314.16,-1.228
1316.174,-1.207
1318.252,-1.217
1320.421,-1.232
1322.552,-1.246
1324.672,-1.247
1326.687,-1.222
1328.738,-1.206
1330.786,-1.201
1332.779,-1.192
1334.862,-1.183
1336.916,-1.173
1338.955,-1.171
1341.047,-1.171
1343.095,-1.16
1345.156,-1.155
1347.227,-1.149
1349.319,-1.15
1351.521,-1.155
1353.712,-1.179
1355.858,-1.194
1357.993,-1.173
1360.104,-1.158
1362.253,-1.154
1364.396,-1.158
1366.519,-1.179
1368.607,-1.187
1370.658,-1.186
1372.757,-1.188
1374.863,-1.194
1376.965,-1.189
1379.071,-1.194
1381.139,-1.192
1383.283,-1.202
1385.527,-1.221
1387.684,-1.227
1389.782,-1.229
1391.83,-1.215
1393.93,-1.204
1396.03,-1.205
1398.063,-1.198
1400.157,-1.198
1402.233,-1.198
1404.33,-1.204
1406.415,-1.206
1408.503,-1.211
1410.601,-1.214
1412.721,-1.245
1414.817,-1.242
1417.03,-1.252
1419.233,-1.256
1421.4,-1.264
1423.564,-1.265
1425.693,-1.269
1427.814,-1.285
1429.941,-1.287
1432.115,-1.287
1434.343,-1.282
1436.641,-1.264
1439.02,-1.271
1441.338,-1.266
1443.687,-1.269
1445.966,-1.259
1448.254,-1.259
1450.596,-1.262
1452.891,-1.267
1455.119,-1.25
1457.277,-1.225
1459.469,-1.206
1461.612,-1.193
1463.748,-1.175
1465.899,-1.173
1468.056,-1.158
1470.232,-1.159
1472.403,-1.157
1474.615,-1.154
1476.79,-1.203
1478.833,-1.2
1480.938,-1.199
1483.194,-1.208
1485.407,-1.219
1487.607,-1.223
1489.788,-1.225
1492.023,-1.217
1494.227,-1.216
1496.484,-1.199
1498.777,-1.193
1501.054,-1.18
1503.343,-1.174
1505.652,-1.168
1507.958,-1.155
1510.301,-1.15
1512.636,-1.15
1515.047,-1.151
1517.517,-1.171
1519.983,-1.185
1522.351,-1.195
1524.739,-1.184
1527.135,-1.194
1529.497,-1.185
1531.888,-1.192
1534.288,-1.192
1536.693,-1.2
1539.063,-1.198
1541.452,-1.2
1543.793,-1.205
1546.128,-1.205
1548.535,-1.216
1551.026,-1.226
1553.487,-1.236
1555.847,-1.241
1558.211,-1.228
1560.556,-1.241
1562.922,-1.232
1565.22,-1.255
1567.565,-1.263
1569.888,-1.257
1572.194,-1.254
1574.526,-1.258
1576.829,-1.254
1579.136,-1.252
1581.486,-1.248
1583.876,-1.261
1586.342,-1.282
1588.787,-1.302
1591.145,-1.282
1593.505,-1.268
1595.915,-1.257
1598.217,-1.247
1600.632,-1.249
1603.029,-1.235
1605.384,-1.224
1607.764,-1.23
1610.17,-1.223
1612.52,-1.219
1614.891,-1.215
1617.394,-1.225
1619.914,-1.244
1622.374,-1.265
1624.798,-1.219
1627.164,-1.201
1629.469,-1.197
1631.859,-1.188
1634.23,-1.184
1636.57,-1.189
1638.947,-1.184
1641.301,-1.18
1643.644,-1.188
1646.028,-1.193
1648.346,-1.204
1650.75,-1.219
1653.225,-1.282
1655.724,-1.292
1658.097,-1.256
1660.46,-1.287
1662.998,-1.31
1665.215,-1.277
1667.617,-1.264
1670.023,-1.264
1672.418,-1.267
1674.8,-1.265
1677.228,-1.268
1679.599,-1.281
1681.986,-1.262
1684.413,-1.266
1686.893,-1.271
1689.419,-1.291
1691.625,-1.323
1694.243,-1.274
1696.471,-1.256
1699.005,-1.234
1701.357,-1.213
1703.711,-1.209
1706.156,-1.195
1708.535,-1.185
1710.921,-1.165
1713.31,-1.149
1715.749,-1.135
1718.176,-1.147
1720.728,-1.12
1723.229,-1.139
1725.778,-1.147
1728.19,-1.122
1730.583,-1.066
1733.129,-1.078
1735.631,-1.056
1738.139,-1.044
1740.641,-1.023
1743.158,-1.015
1745.65,-1.011
1748.151,-1.003
1750.677,-0.977
1753.189,-0.975
1755.82,-0.98
1758.546,-0.987
1761.233,-0.971
1763.675,-0.945
1766.238,-0.92
1768.829,-0.9
1771.251,-0.889
1773.967,-0.881
1776.571,-0.86
1779.156,-0.853
1781.727,-0.836
1784.312,-0.828
1786.88,-0.801
1789.455,-0.775
1792.161,-0.773
1794.852,-0.776
1797.453,-0.763
1799.995,-0.724
1802.59,-0.692
1805.125,-0.672
1807.677,-0.656
1810.261,-0.65
1812.82,-0.646
1815.403,-0.649
1818.019,-0.652
1820.653,-0.649
1823.62,-0.713
1826.382,-0.692
1829.087,-0.713
1831.778,-0.721
1834.373,-0.698
1836.941,-0.685
