x_val,Y,y_val
2.291,-0.15,-1
3.818,-0.164,-1
5.236,-0.15,-1
6.668,-0.109,-1
8.1,-0.109,-1
9.518,-0.095,-1
10.99,-0.095,-1
12.395,-0.068,-1
13.827,-0.041,-1
15.149,-0.027,-1
16.458,-0.027,-1
17.713,0,-1
19.022,-0.014,-1
20.386,0,-1
21.667,0.041,-1
22.949,0.055,-1
24.149,0.068,-1
25.376,0.095,-1
26.549,0.109,-1
27.776,0.109,-1
28.99,0.123,-1
30.19,0.123,-1
31.362,0.136,-1
32.59,0.136,-1
33.83,0.136,-1
35.071,0.136,-1
36.312,0.136,-1
37.567,0.136,-1
38.848,0.164,-1
40.185,0.177,-1
41.521,0.191,-1
42.885,0.218,-1
44.221,0.232,-1
45.516,0.218,-1
46.825,0.245,-1
48.093,0.245,-1
49.389,0.273,-1
50.643,0.273,-1
51.925,0.286,-1
53.152,0.273,-1
54.434,0.259,-1
55.716,0.273,-1
57.025,0.3,-1
58.307,0.3,-1
59.575,0.3,-1
60.966,0.327,-1
62.397,0.341,-1
63.829,0.355,-1
65.125,0.355,-1
66.461,0.368,-1
67.811,0.355,-1
69.106,0.355,-1
70.388,0.355,-1
71.656,0.368,-1
72.979,0.368,-1
74.315,0.382,-1
75.583,0.395,-1
76.892,0.395,-1
78.188,0.395,-1
79.524,0.423,-1
80.792,0.423,-1
82.197,0.45,-1
83.656,0.436,-1
85.074,0.491,-1
86.383,0.518,-1
87.705,0.464,-1
89.069,0.491,-1
90.392,0.477,-1
91.742,0.518,-1
93.037,0.518,-1
94.305,0.518,-1
95.669,0.518,-1
96.951,0.532,-1
98.178,0.532,-1
99.5,0.545,-1
100.782,0.573,-1
102.091,0.559,-1
103.428,0.6,-1
104.846,0.6,-1
106.196,0.614,-1
107.505,0.586,-1
108.814,0.586,-1
110.109,0.614,-1
111.445,0.573,-1
112.754,0.573,-1
114.159,0.586,-1
115.522,0.586,-1
116.9,0.573,-1
118.263,0.559,-1
119.572,0.573,-1
120.895,0.545,-1
122.231,0.545,-1
123.554,0.532,-1
124.945,0.532,-1
126.363,0.545,-1
127.727,0.545,-1
128.995,0.532,-1
130.304,0.532,-1
131.545,0.505,-1
132.86,0.505,-1
134.176,0.491,-1
135.492,0.505,-1
136.808,0.505,-1
138.117,0.484,-1
139.385,0.491,-1
140.667,0.464,-1
141.949,0.477,-1
143.237,0.484,-1
144.594,0.491,-1
145.992,0.505,-1
147.423,0.505,-1
148.855,0.491,-1
150.205,0.511,-1
151.521,0.47,-1
152.864,0.491,-1
154.153,0.498,-1
155.455,0.484,-1
156.709,0.505,-1
158.012,0.505,-1
159.28,0.498,-1
160.582,0.511,-1
161.898,0.505,-1
163.275,0.491,-1
164.57,0.532,-1
165.961,0.518,-1
167.366,0.518,-1
168.838,0.545,-1
170.284,0.518,-1
171.729,0.545,-1
173.093,0.559,-1
174.497,0.545,-1
175.902,0.545,-1
177.306,0.532,-1
178.684,0.545,-1
180.061,0.532,-1
181.465,0.518,-1
182.924,0.518,-1
184.301,0.518,-1
185.624,0.545,-1
187.056,0.532,-1
188.515,0.573,-1
190.001,0.6,-1
191.528,0.614,-1
192.947,0.627,-1
194.378,0.614,-1
195.728,0.559,-1
197.201,0.614,-1
198.728,0.6,-1
200.105,0.6,-1
201.523,0.6,-1
203.023,0.614,-1
204.455,0.573,-1
205.941,0.614,-1
207.401,0.614,-1
208.86,0.573,-1
210.373,0.627,-1
212.037,0.614,-1
213.618,0.655,-1
215.159,0.668,-1
216.646,0.627,-1
218.159,0.668,-1
219.645,0.682,-1
221.064,0.709,-1
222.509,0.709,-1
223.927,0.695,-1
225.413,0.682,-1
226.872,0.668,-1
228.331,0.682,-1
229.777,0.682,-1
231.25,0.695,-1
232.749,0.695,-1
234.345,0.695,-1
235.913,0.736,-1
237.427,0.709,-1
238.858,0.723,-1
240.372,0.709,-1
241.845,0.682,-1
243.29,0.682,-1
244.735,0.682,-1
246.208,0.709,-1
247.681,0.709,-1
249.222,0.709,-1
250.735,0.682,-1
252.221,0.668,-1
253.708,0.682,-1
255.221,0.723,-1
256.748,0.723,-1
258.385,0.723,-1
259.898,0.723,-1
261.426,0.723,-1
262.912,0.709,-1
264.398,0.709,-1
265.98,0.682,-1
267.562,0.709,-1
269.184,0.709,-1
270.766,0.709,-1
272.402,0.709,-1
273.998,0.682,-1
275.566,0.723,-1
277.202,0.668,-1
278.852,0.723,-1
280.693,0.709,-1
282.37,0.736,-1
283.952,0.736,-1
285.615,0.723,-1
287.184,0.709,-1
288.779,0.764,-1
290.388,0.764,-1
291.97,0.723,-1
293.538,0.764,-1
295.174,0.736,-1
296.77,0.764,-1
298.379,0.764,-1
299.974,0.777,-1
301.678,0.818,-1
303.465,0.818,-1
305.156,0.845,-1
306.86,0.873,-1
308.551,0.845,-1
310.174,0.832,-1
311.823,0.873,-1
313.487,0.832,-1
315.151,0.859,-1
316.828,0.805,-1
318.464,0.845,-1
320.087,0.832,-1
321.75,0.845,-1
323.468,0.859,-1
325.227,0.845,-1
327.082,0.914,-1
328.909,0.927,-1
330.668,0.886,-1
332.414,0.886,-1
334.173,0.886,-1
335.877,0.873,-1
337.595,0.845,-1
339.341,0.873,-1
341.14,0.873,-1
342.777,0.886,-1
344.495,0.845,-1
346.227,0.873,-1
347.917,0.832,-1
349.731,0.886,-1
351.585,0.845,-1
353.276,0.832,-1
355.008,0.845,-1
356.713,0.832,-1
358.417,0.832,-1
360.149,0.818,-1
361.921,0.791,-1
363.612,0.791,-1
365.33,0.791,-1
367.021,0.777,-1
368.685,0.777,-1
370.417,0.764,-1
372.121,0.777,-1
374.03,0.777,-1
375.748,0.791,-1
377.507,0.777,-1
379.239,0.764,-1
380.916,0.709,-1
382.661,0.764,-1
384.38,0.736,-1
386.016,0.736,-1
387.652,0.764,-1
389.234,0.736,-1
390.843,0.709,-1
392.507,0.709,-1
394.17,0.736,-1
395.725,0.709,-1
397.552,0.736,-1
399.284,0.709,-1
400.865,0.736,-1
402.488,0.709,-1
404.042,0.736,-1
405.624,0.709,-1
407.151,0.668,-1
408.719,0.668,-1
410.247,0.682,-1
411.788,0.682,-1
413.301,0.668,-1
414.869,0.682,-1
416.342,0.655,-1
417.855,0.627,-1
419.314,0.655,-1
420.869,0.682,-1
422.492,0.668,-1
424.114,0.682,-1
425.532,0.709,-1
427.087,0.682,-1
428.614,0.668,-1
430.128,0.682,-1
431.641,0.668,-1
433.141,0.668,-1
434.614,0.655,-1
436.087,0.668,-1
437.614,0.709,-1
439.127,0.668,-1
440.655,0.682,-1
442.127,0.682,-1
443.654,0.709,-1
445.25,0.723,-1
446.927,0.723,-1
448.55,0.723,-1
450.159,0.736,-1
451.713,0.723,-1
453.309,0.723,-1
454.89,0.709,-1
456.513,0.709,-1
458.108,0.764,-1
459.745,0.723,-1
461.367,0.764,-1
462.949,0.736,-1
464.544,0.736,-1
466.181,0.777,-1
467.735,0.764,-1
469.372,0.764,-1
471.062,0.818,-1
472.794,0.791,-1
474.444,0.832,-1
476.067,0.832,-1
477.662,0.832,-1
479.244,0.818,-1
480.866,0.832,-1
482.421,0.832,-1
483.989,0.845,-1
485.612,0.832,-1
487.207,0.832,-1
488.789,0.832,-1
490.371,0.845,-1
492.007,0.832,-1
493.63,0.832,-1
495.28,0.873,-1
497.025,0.873,-1
498.77,0.9,-1
500.407,0.9,-1
502.097,0.873,-1
503.747,0.873,-1
505.384,0.845,-1
507.047,0.845,-1
508.752,0.873,-1
510.456,0.832,-1
512.133,0.832,-1
513.824,0.832,-1
515.461,0.845,-1
517.165,0.832,-1
518.856,0.818,-1
520.683,0.832,-1
522.483,0.832,-1
524.256,0.873,-1
526.028,0.832,-1
527.733,0.832,-1
529.41,0.832,-1
531.128,0.818,-1
532.792,0.818,-1
534.442,0.818,-1
536.078,0.818,-1
537.755,0.791,-1
539.446,0.777,-1
541.191,0.791,-1
542.882,0.791,-1
544.587,0.818,-1
546.414,0.818,-1
548.336,0.845,-1
550.123,0.818,-1
551.814,0.832,-1
553.559,0.777,-1
555.318,0.764,-1
557.104,0.764,-1
558.904,0.723,-1
560.568,0.764,-1
562.313,0.723,-1
564.099,0.723,-1
565.804,0.736,-1
567.604,0.709,-1
569.336,0.723,-1
571.095,0.723,-1
572.922,0.764,-1
574.722,0.736,-1
576.372,0.764,-1
578.076,0.764,-1
579.794,0.764,-1
581.485,0.736,-1
583.23,0.736,-1
584.976,0.764,-1
586.694,0.736,-1
588.357,0.736,-1
590.13,0.791,-1
591.889,0.764,-1
593.675,0.764,-1
595.394,0.777,-1
597.248,0.777,-1
599.13,0.791,-1
600.998,0.832,-1
602.757,0.832,-1
604.475,0.777,-1
606.261,0.818,-1
608.061,0.791,-1
609.807,0.764,-1
611.593,0.764,-1
613.393,0.777,-1
615.138,0.791,-1
616.843,0.764,-1
618.656,0.777,-1
620.402,0.777,-1
622.202,0.777,-1
624.042,0.791,-1
625.911,0.832,-1
627.738,0.832,-1
629.483,0.832,-1
631.174,0.818,-1
632.865,0.791,-1
634.678,0.777,-1
636.41,0.818,-1
638.155,0.791,-1
639.914,0.777,-1
641.66,0.777,-1
643.392,0.777,-1
645.123,0.764,-1
646.923,0.791,-1
648.682,0.818,-1
650.605,0.777,-1
652.514,0.791,-1
654.3,0.832,-1
656.059,0.818,-1
657.805,0.791,-1
659.577,0.777,-1
661.377,0.777,-1
663.191,0.777,-1
665.045,0.764,-1
666.886,0.791,-1
668.686,0.777,-1
670.5,0.791,-1
672.299,0.777,-1
674.181,0.777,-1
676.117,0.764,-1
678.122,0.777,-1
679.99,0.777,-1
681.763,0.777,-1
683.522,0.764,-1
685.24,0.736,-1
686.958,0.723,-1
688.662,0.709,-1
690.394,0.723,-1
692.14,0.695,-1
693.844,0.709,-1
695.508,0.682,-1
697.185,0.682,-1
698.917,0.682,-1
700.635,0.668,-1
702.448,0.655,-1
704.316,0.682,-1
706.266,0.682,-1
708.053,0.709,-1
709.73,0.695,-1
711.407,0.682,-1
713.111,0.709,-1
714.816,0.709,-1
716.629,0.709,-1
718.388,0.682,-1
720.229,0.682,-1
722.043,0.709,-1
723.802,0.709,-1
725.52,0.723,-1
727.265,0.709,-1
728.929,0.709,-1
730.62,0.723,-1
732.461,0.736,-1
734.206,0.764,-1
735.951,0.791,-1
737.738,0.764,-1
739.429,0.736,-1
741.133,0.764,-1
742.824,0.736,-1
744.569,0.736,-1
746.383,0.736,-1
748.183,0.723,-1
749.983,0.709,-1
751.823,0.709,-1
753.637,0.709,-1
755.464,0.723,-1
757.332,0.723,-1
759.241,0.736,-1
761.219,0.764,-1
763.128,0.791,-1
765.009,0.777,-1
766.823,0.723,-1
768.636,0.764,-1
770.464,0.723,-1
772.277,0.764,-1
774.132,0.723,-1
775.986,0.723,-1
777.881,0.723,-1
779.695,0.736,-1
781.672,0.709,-1
783.527,0.764,-1
785.518,0.736,-1
787.549,0.777,-1
789.581,0.764,-1
791.476,0.818,-1
793.426,0.791,-1
795.349,0.736,-1
797.217,0.723,-1
799.153,0.736,-1
801.062,0.723,-1
803.026,0.736,-1
804.949,0.709,-1
806.858,0.723,-1
808.767,0.709,-1
810.676,0.723,-1
812.53,0.709,-1
814.494,0.709,-1
816.512,0.709,-1
818.53,0.709,-1
820.48,0.709,-1
822.361,0.682,-1
824.366,0.668,-1
826.329,0.668,-1
828.225,0.668,-1
830.188,0.655,-1
832.057,0.668,-1
833.979,0.668,-1
835.915,0.655,-1
837.729,0.709,-1
839.556,0.655,-1
841.411,0.682,-1
843.252,0.695,-1
845.065,0.736,-1
846.892,0.709,-1
848.692,0.709,-1
850.438,0.682,-1
852.197,0.736,-1
853.956,0.695,-1
855.756,0.695,-1
857.61,0.709,-1
859.478,0.695,-1
861.264,0.709,-1
863.119,0.736,-1
864.919,0.709,-1
866.732,0.736,-1
868.587,0.75,-1
870.55,0.75,-1
872.528,0.764,-1
874.423,0.791,-1
876.318,0.818,-1
878.146,0.805,-1
880.027,0.805,-1
881.773,0.818,-1
883.709,0.805,-1
885.563,0.859,-1
887.432,0.818,-1
889.327,0.859,-1
891.14,0.873,-1
892.995,0.873,-1
894.781,0.873,-1
896.649,0.9,-1
900.631,0.914,-1
898.613,0.9,-1
902.54,0.968,-1
904.463,0.955,-1
906.358,0.955,-1
908.185,0.968,-1
910.067,0.968,-1
911.84,0.955,-1
913.721,0.968,-1
915.576,0.955,-1
917.389,0.955,-1
919.189,0.968,-1
921.003,0.955,-1
922.885,0.927,-1
924.753,0.955,-1
926.566,0.955,-1
928.53,0.955,-1
930.493,0.982,-1
932.362,1.009,-1
934.216,1.009,-1
936.084,0.927,-1
937.966,0.955,-1
939.793,0.927,-1
941.647,0.927,-1
943.543,0.955,-1
945.452,0.955,-1
947.252,0.955,-1
949.161,0.955,-1
951.015,0.982,-1
952.979,0.982,-1
954.929,0.968,-1
957.029,1.009,-1
959.319,1.023,-1
961.501,1.036,-1
963.628,1.009,-1
965.756,0.982,-1
967.937,0.968,-1
970.092,1.023,-1
972.301,0.982,-1
974.496,1.009,-1
976.678,1.009,-1
978.846,0.982,-1
981.041,0.968,-1
983.291,0.968,-1
985.459,0.955,-1
987.75,0.982,-1
990.095,1.023,-1
992.223,1.023,-1
994.336,1.009,-1
996.463,0.982,-1
998.604,0.927,-1
1000.69,0.927,-1
1002.818,0.955,-1
1004.986,0.927,-1
1007.058,0.914,-1
1009.172,0.9,-1
1011.258,0.927,-1
1013.263,0.914,-1
1015.363,0.914,-1
1017.476,0.914,-1
1019.549,0.955,-1
1021.608,0.955,-1
1023.571,0.914,-1
1025.63,0.9,-1
1027.635,0.9,-1
1029.626,0.9,-1
1031.644,0.9,-1
1033.58,0.873,-1
1035.571,0.9,-1
1037.534,0.873,-1
1039.43,0.9,-1
1041.462,0.873,-1
1043.452,0.9,-1
1045.498,0.9,-1
1047.652,0.914,-1
1049.793,0.968,-1
1051.757,0.955,-1
1053.829,0.927,-1
1055.793,0.873,-1
1057.756,0.9,-1
1059.788,0.9,-1
1061.792,0.873,-1
1063.852,0.845,-1
1065.829,0.845,-1
1067.806,0.818,-1
1069.81,0.845,-1
1071.842,0.845,-1
1073.806,0.818,-1
1075.906,0.845,-1
1078.06,0.845,-1
1080.16,0.859,-1
1082.096,0.845,-1
1084.06,0.818,-1
1086.064,0.805,-1
1088.069,0.75,-1
1089.991,0.791,-1
1091.982,0.764,-1
1093.987,0.75,-1
1095.991,0.75,-1
1097.955,0.75,-1
1099.864,0.75,-1
1101.909,0.764,-1
1103.845,0.75,-1
1105.932,0.75,-1
1108.113,0.791,-1
1110.2,0.818,-1
1112.259,0.805,-1
1114.263,0.791,-1
1116.295,0.791,-1
1118.258,0.791,-1
1120.167,0.791,-1
1122.076,0.75,-1
1124.081,0.75,-1
1125.935,0.764,-1
1127.858,0.791,-1
1129.794,0.75,-1
1131.812,0.791,-1
1133.776,0.791,-1
1135.821,0.764,-1
1137.908,0.805,-1
1139.994,0.818,-1
1141.998,0.845,-1
1143.962,0.818,-1
1145.939,0.791,-1
1147.875,0.791,-1
1149.812,0.75,-1
1151.748,0.764,-1
1153.725,0.764,-1
1155.675,0.75,-1
1157.652,0.764,-1
1159.52,0.75,-1
1161.457,0.736,-1
1163.406,0.75,-1
1165.329,0.723,-1
1167.347,0.764,-1
1169.352,0.777,-1
1171.438,0.791,-1
1173.401,0.805,-1
1175.351,0.777,-1
1177.342,0.736,-1
1179.292,0.75,-1
1181.283,0.736,-1
1183.233,0.709,-1
1185.278,0.736,-1
1187.269,0.723,-1
1189.233,0.736,-1
1191.21,0.709,-1
1193.201,0.709,-1
1195.192,0.709,-1
1197.196,0.695,-1
1199.323,0.709,-1
1201.423,0.709,-1
1203.509,0.709,-1
1205.568,0.723,-1
1207.573,0.695,-1
1209.509,0.682,-1
1211.541,0.668,-1
1213.545,0.655,-1
1215.604,0.655,-1
1217.704,0.668,-1
1219.736,0.668,-1
1221.768,0.668,-1
1223.813,0.641,-1
1225.845,0.655,-1
1227.931,0.655,-1
1229.99,0.695,-1
1232.117,0.695,-1
1234.217,0.723,-1
1236.235,0.709,-1
1238.294,0.695,-1
1240.258,0.709,-1
1242.276,0.682,-1
1244.28,0.695,-1
1246.271,0.709,-1
1248.235,0.668,-1
1250.266,0.682,-1
1252.271,0.682,-1
1254.276,0.709,-1
1256.321,0.723,-1
1258.38,0.709,-1
1260.507,0.723,-1
1262.675,0.736,-1
1264.87,0.736,-1
1267.011,0.764,-1
1269.057,0.764,-1
1271.143,0.736,-1
1273.175,0.723,-1
1275.22,0.736,-1
1277.238,0.736,-1
1279.229,0.764,-1
1281.302,0.764,-1
1283.333,0.777,-1
1285.379,0.777,-1
1287.41,0.791,-1
1289.469,0.791,-1
1291.501,0.818,-1
1293.669,0.818,-1
1295.878,0.873,-1
1298.005,0.886,-1
1300.078,0.873,-1
1302.137,0.845,-1
1304.223,0.873,-1
1306.282,0.832,-1
1308.301,0.832,-1
1310.441,0.818,-1
1312.459,0.791,-1
1314.546,0.818,-1
1316.591,0.818,-1
1318.664,0.818,-1
1320.682,0.791,-1
1322.727,0.764,-1
1324.8,0.777,-1
1326.954,0.791,-1
1329.136,0.791,-1
1331.263,0.818,-1
1333.295,0.777,-1
1335.327,0.777,-1
1337.386,0.777,-1
1339.39,0.777,-1
1341.49,0.777,-1
1343.535,0.723,-1
1345.567,0.723,-1
1347.694,0.764,-1
1349.767,0.736,-1
1351.826,0.723,-1
1353.912,0.723,-1
1355.999,0.723,-1
1358.221,0.709,-1
1360.417,0.736,-1
1362.598,0.764,-1
1364.739,0.723,-1
1366.825,0.736,-1
1368.993,0.709,-1
1371.134,0.723,-1
1373.289,0.723,-1
1375.361,0.736,-1
1377.448,0.736,-1
1379.534,0.764,-1
1381.647,0.764,-1
1383.775,0.777,-1
1385.888,0.736,-1
1387.961,0.777,-1
1390.129,0.736,-1
1392.365,0.791,-1
1394.547,0.791,-1
1396.661,0.818,-1
1398.706,0.791,-1
1400.819,0.777,-1
1402.933,0.777,-1
1404.978,0.764,-1
1407.092,0.777,-1
1409.178,0.75,-1
1411.278,0.777,-1
1413.364,0.764,-1
1415.478,0.791,-1
1417.564,0.777,-1
1419.705,0.818,-1
1421.818,0.791,-1
1424.028,0.818,-1
1426.25,0.818,-1
1428.418,0.832,-1
1430.586,0.832,-1
1432.741,0.845,-1
1434.841,0.859,-1
1436.995,0.818,-1
1439.177,0.859,-1
1441.44,0.845,-1
1443.718,0.832,-1
1446.336,0.75,-1
1448.449,0.818,-1
1450.808,0.845,-1
1453.113,0.818,-1
1455.39,0.832,-1
1457.749,0.832,-1
1460.053,0.818,-1
1462.29,0.818,-1
1464.458,0.791,-1
1466.667,0.777,-1
1468.821,0.764,-1
1470.962,0.736,-1
1473.13,0.723,-1
1475.312,0.723,-1
1477.48,0.723,-1
1479.675,0.723,-1
1481.857,0.723,-1
1484.066,0.791,-1
1486.111,0.777,-1
1488.225,0.764,-1
1490.516,0.777,-1
1492.711,0.791,-1
1494.92,0.777,-1
1497.129,0.791,-1
1499.338,0.777,-1
1501.602,0.818,-1
1503.865,0.736,-1
1506.129,0.764,-1
1508.42,0.736,-1
1510.738,0.764,-1
1513.028,0.764,-1
1515.401,0.736,-1
1517.719,0.736,-1
1520.119,0.736,-1
1522.519,0.736,-1
1525.001,0.764,-1
1527.482,0.764,-1
1529.855,0.764,-1
1532.255,0.764,-1
1534.655,0.764,-1
1537,0.764,-1
1539.373,0.764,-1
1541.827,0.736,-1
1544.227,0.764,-1
1546.654,0.764,-1
1548.972,0.764,-1
1551.372,0.736,-1
1553.745,0.791,-1
1556.172,0.791,-1
1558.654,0.764,-1
1561.135,0.818,-1
1563.426,0.764,-1
1565.881,0.791,-1
1568.199,0.845,-1
1570.599,0.791,-1
1572.89,0.818,-1
1575.262,0.873,-1
1577.58,0.845,-1
1579.898,0.845,-1
1582.271,0.873,-1
1584.535,0.845,-1
1586.88,0.845,-1
1589.253,0.791,-1
1591.625,0.845,-1
1594.134,0.818,-1
1596.589,0.873,-1
1598.907,0.845,-1
1601.334,0.845,-1
1603.734,0.859,-1
1606.025,0.805,-1
1608.479,0.845,-1
1610.852,0.845,-1
1613.224,0.791,-1
1615.638,0.818,-1
1618.038,0.805,-1
1620.383,0.764,-1
1625.319,0.764,-1
1627.842,0.818,-1
1630.283,0.859,-1
1632.737,0.791,-1
1635.123,0.791,-1
1637.469,0.75,-1
1639.869,0.736,-1
1642.228,0.75,-1
1644.559,0.75,-1
1646.959,0.764,-1
1649.305,0.75,-1
1651.664,0.75,-1
1654.063,0.75,-1
1656.409,0.764,-1
1658.85,0.805,-1
1661.331,0.832,-1
1663.799,0.845,-1
1666.199,0.845,-1
1668.558,0.832,-1
1673.331,0.832,-1
1675.758,0.832,-1
1678.172,0.818,-1
1680.572,0.845,-1
1682.985,0.845,-1
1685.385,0.832,-1
1687.798,0.832,-1
1690.185,0.832,-1
1692.666,0.845,-1
1695.094,0.873,-1
1697.63,0.845,-1
1702.525,0.832,-1
1707.284,0.777,-1
1709.629,0.777,-1
1711.975,0.777,-1
1714.456,0.777,-1
1716.87,0.75,-1
1719.27,0.75,-1
1721.642,0.723,-1
1724.097,0.682,-1
1729.06,0.695,-1
1731.638,0.736,-1
1736.587,0.709,-1
1741.537,0.655,-1
1744.06,0.6,-1
1751.669,0.573,-1
1754.177,0.573,-1
1756.687,0.573,-1
1759.168,0.518,-1
1761.732,0.518,-1
1764.323,0.518,-1
1767.132,0.573,-1
1772.272,0.545,-1
1777.44,0.436,-1
1782.513,0.45,-1
1785.185,0.45,-1
1787.776,0.395,-1
1790.34,0.395,-1
1792.985,0.395,-1
1795.576,0.382,-1
1798.085,0.355,-1
1800.866,0.327,-1
1803.594,0.341,-1
1806.212,0.341,-1
1808.734,0.3,-1
1811.339,0.245,-1
1813.902,0.245,-1
1816.466,0.191,-1
1819.002,0.245,-1
1821.607,0.177,-1
1824.225,0.245,-1
1826.843,0.218,-1
1829.42,0.232,-1
1835.256,0.273,-1
1837.983,0.191,-1
1840.683,0.245,-1
1843.301,0.273,-1
1845.865,0.245,-1
1622.878,0.791,-1
1670.999,0.873,-1
1699.962,0.818,-1
1704.898,0.777,-1
1726.579,0.655,-1
1734.051,0.709,-1
1739.205,0.627,-1
1746.951,0.614,-1
1749.555,0.614,-1
1769.641,0.545,-1
1774.849,0.491,-1
1780.031,0.409,-1
